sale_id,model,dealer_city,sale_date,sale_price_inr,customer_type
SALE0001,BMW_X1,Delhi,2025-04-18,4924526,Corporate
SALE0002,BMW_X3,Mumbai,2025-05-02,7106362,Fleet
SALE0003,BMW_X3,Hyderabad,2025-01-04,6894093,Fleet
SALE0004,BMW_i5,Bengaluru,2025-07-23,7811781,Individual
SALE0005,BMW_320i,Kolkata,2025-07-09,4552536,Fleet
SALE0006,BMW_iX,Ahmedabad,2025-03-26,11096160,Fleet
SALE0007,BMW_330e,Hyderabad,2025-08-29,6653745,Individual
SALE0008,BMW_X1,Pune,2025-01-23,5182432,Individual
SALE0009,BMW_iX,Hyderabad,2025-07-06,11339852,Corporate
SALE0010,BMW_iX,Chennai,2025-06-20,11320666,Corporate
SALE0011,BMW_X3,Bengaluru,2025-02-20,6141483,Fleet
SALE0012,BMW_330e,Kolkata,2025-05-02,6106437,Individual
SALE0013,BMW_i4,Kolkata,2025-08-16,7783583,Corporate
SALE0014,BMW_i4,Kolkata,2025-05-09,7820139,Corporate
SALE0015,BMW_iX,Pune,2025-01-07,11772441,Individual
SALE0016,BMW_iX,Bengaluru,2025-01-18,11036233,Fleet
SALE0017,BMW_i4,Pune,2025-06-09,7355886,Individual
SALE0018,BMW_X1,Hyderabad,2025-08-02,5090995,Corporate
SALE0019,BMW_X5,Pune,2025-02-13,9487699,Individual
SALE0020,BMW_i5,Chennai,2025-06-24,8222033,Fleet
SALE0021,BMW_X3,Chennai,2025-02-11,6491956,Corporate
SALE0022,BMW_iX,Bengaluru,2025-06-20,12001767,Individual
SALE0023,BMW_X1,Kolkata,2025-04-23,5039354,Fleet
SALE0024,BMW_iX,Chennai,2025-03-15,11140976,Corporate
SALE0025,BMW_X5,Mumbai,2025-03-05,9153807,Corporate
SALE0026,BMW_330e,Mumbai,2025-06-15,6884142,Individual
SALE0027,BMW_iX,Ahmedabad,2025-02-05,11125573,Individual
SALE0028,BMW_X3,Mumbai,2025-04-04,7011168,Corporate
SALE0029,BMW_i5,Ahmedabad,2025-08-20,8369137,Corporate
SALE0030,BMW_X1,Mumbai,2025-03-12,5017413,Fleet
SALE0031,BMW_320i,Chennai,2025-02-02,4512440,Corporate
SALE0032,BMW_i4,Kolkata,2025-08-07,7457797,Corporate
SALE0033,BMW_i5,Mumbai,2025-07-27,8727797,Individual
SALE0034,BMW_X1,Mumbai,2025-01-25,4666520,Individual
SALE0035,BMW_iX,Pune,2025-01-19,12538941,Fleet
SALE0036,BMW_X5,Hyderabad,2025-05-18,9299018,Corporate
SALE0037,BMW_iX,Mumbai,2025-06-09,12734255,Individual
SALE0038,BMW_X1,Chennai,2025-02-21,5275423,Fleet
SALE0039,BMW_320i,Kolkata,2025-01-03,4812927,Corporate
SALE0040,BMW_330e,Mumbai,2025-05-26,6392871,Fleet
SALE0041,BMW_X3,Hyderabad,2025-06-28,6329464,Fleet
SALE0042,BMW_320i,Delhi,2025-02-09,4411148,Fleet
SALE0043,BMW_X5,Ahmedabad,2025-07-25,10392574,Fleet
