BMW0005#model=BMW_320i,fuel_type=Petrol,speed_kmph=169,rpm=2977,engine_temp_c=98,coolant_temp_c=98,battery_soc_pct=84,battery_voltage_v=13.9,fuel_level_pct=25,tire_fl_psi=36.2,tire_fr_psi=37.9,tire_rl_psi=36.8,tire_rr_psi=36.9,outside_temp_c=30,odometer_km=60242
BMW0015#model=BMW_i4,fuel_type=Electric,speed_kmph=112,rpm=3770,engine_temp_c=0,coolant_temp_c=27,battery_soc_pct=90,battery_voltage_v=365.4,fuel_level_pct=0,tire_fl_psi=33.6,tire_fr_psi=32.0,tire_rl_psi=30.5,tire_rr_psi=30.2,outside_temp_c=35,odometer_km=136179
BMW0001#model=BMW_330e,fuel_type=Hybrid,speed_kmph=6,rpm=1412,engine_temp_c=88,coolant_temp_c=75,battery_soc_pct=95,battery_voltage_v=338.0,fuel_level_pct=21,tire_fl_psi=32.0,tire_fr_psi=31.1,tire_rl_psi=30.8,tire_rr_psi=35.9,outside_temp_c=35,odometer_km=72597
BMW0008#model=BMW_X3,fuel_type=Diesel,speed_kmph=167,rpm=5298,engine_temp_c=100,coolant_temp_c=102,battery_soc_pct=89,battery_voltage_v=12.9,fuel_level_pct=79,tire_fl_psi=33.2,tire_fr_psi=37.3,tire_rl_psi=33.7,tire_rr_psi=32.1,outside_temp_c=25,odometer_km=131370
BMW0007#model=BMW_X5,fuel_type=Diesel,speed_kmph=163,rpm=3284,engine_temp_c=95,coolant_temp_c=88,battery_soc_pct=80,battery_voltage_v=12.9,fuel_level_pct=77,tire_fl_psi=31.8,tire_fr_psi=32.6,tire_rl_psi=36.1,tire_rr_psi=30.4,outside_temp_c=19,odometer_km=146501
BMW0015#model=BMW_i4,fuel_type=Electric,speed_kmph=112,rpm=3770,engine_temp_c=0,coolant_temp_c=27,battery_soc_pct=90,battery_voltage_v=365.4,fuel_level_pct=0,tire_fl_psi=33.6,tire_fr_psi=32.0,tire_rl_psi=30.5,tire_rr_psi=30.2,outside_temp_c=35,odometer_km=136179
BMW0013#model=BMW_i4,fuel_type=Electric,speed_kmph=78,rpm=1133,engine_temp_c=0,coolant_temp_c=29,battery_soc_pct=83,battery_voltage_v=403.6,fuel_level_pct=0,tire_fl_psi=30.5,tire_fr_psi=37.0,tire_rl_psi=37.6,tire_rr_psi=30.7,outside_temp_c=33,odometer_km=63270
BMW0012#model=BMW_X5,fuel_type=Diesel,speed_kmph=163,rpm=5044,engine_temp_c=82,coolant_temp_c=106,battery_soc_pct=55,battery_voltage_v=13.8,fuel_level_pct=7,tire_fl_psi=34.9,tire_fr_psi=31.2,tire_rl_psi=36.1,tire_rr_psi=34.3,outside_temp_c=42,odometer_km=133580
BMW0011#model=BMW_i4,fuel_type=Electric,speed_kmph=28,rpm=8201,engine_temp_c=0,coolant_temp_c=28,battery_soc_pct=37,battery_voltage_v=385.5,fuel_level_pct=0,tire_fl_psi=33.5,tire_fr_psi=33.6,tire_rl_psi=37.6,tire_rr_psi=37.0,outside_temp_c=26,odometer_km=77439
BMW0017#model=BMW_i5,fuel_type=Electric,speed_kmph=48,rpm=887,engine_temp_c=0,coolant_temp_c=28,battery_soc_pct=98,battery_voltage_v=418.9,fuel_level_pct=0,tire_fl_psi=30.8,tire_fr_psi=33.4,tire_rl_psi=33.4,tire_rr_psi=33.7,outside_temp_c=41,odometer_km=25226
BMW0003#model=BMW_i4,fuel_type=Electric,speed_kmph=71,rpm=5635,engine_temp_c=0,coolant_temp_c=26,battery_soc_pct=92,battery_voltage_v=368.5,fuel_level_pct=0,tire_fl_psi=31.7,tire_fr_psi=36.1,tire_rl_psi=30.8,tire_rr_psi=33.0,outside_temp_c=29,odometer_km=41258
